txn_id,applicant_id,txn_hour,is_new_device,txn_amount_inr,channel,iso_flagged_anomaly
BTXN5000,APP1126,15,0,199,P2P,0
BTXN5001,APP1167,22,0,499,P2P,0
BTXN5002,APP1079,18,0,1999,P2P,0
BTXN5003,APP1293,18,1,999,P2M,1
BTXN5004,APP1332,12,0,199,P2P,0
BTXN5005,APP1125,15,0,199,P2M,0
BTXN5006,APP1342,7,0,199,P2M,0
BTXN5007,APP1309,9,0,199,P2P,0
BTXN5008,APP1149,11,0,199,P2M,0
BTXN5009,APP1015,11,0,499,P2P,0
BTXN5010,APP1027,22,1,199,P2P,1
BTXN5011,APP1172,19,0,199,P2P,0
BTXN5012,APP1045,16,0,499,P2P,0
BTXN5013,APP1327,7,1,199,P2M,0
BTXN5014,APP1235,8,0,199,P2M,0
BTXN5015,APP1213,16,0,499,P2P,0
BTXN5016,APP1084,11,0,199,P2M,0
BTXN5017,APP1281,19,0,499,P2P,0
BTXN5018,APP1231,21,0,199,P2M,0
BTXN5019,APP1084,12,0,999,P2P,0
BTXN5020,APP1064,13,0,1999,P2P,0
BTXN5021,APP1133,21,0,999,P2P,0
BTXN5022,APP1150,12,0,499,P2P,0
BTXN5023,APP1114,14,0,1999,P2M,0
BTXN5024,APP1063,18,0,999,P2M,0
BTXN5025,APP1342,6,0,199,P2P,0
BTXN5026,APP1362,13,0,499,P2M,0
BTXN5027,APP1351,9,0,1999,P2M,0
BTXN5028,APP1157,8,0,499,P2M,0
BTXN5029,APP1076,8,0,199,P2P,0
BTXN5030,APP1145,18,0,999,P2M,0
BTXN5031,APP1342,13,0,1999,P2M,0
BTXN5032,APP1224,12,0,199,P2M,0
BTXN5033,APP1312,6,0,499,P2P,0
BTXN5034,APP1102,21,0,199,P2P,0
BTXN5035,APP1346,11,0,999,P2P,0
BTXN5036,APP1300,12,0,199,P2M,0
BTXN5037,APP1087,17,0,499,P2M,0
BTXN5038,APP1370,14,0,1999,P2P,0
BTXN5039,APP1302,16,0,499,P2M,0
BTXN5040,APP1167,15,0,999,P2M,0
BTXN5041,APP1169,6,0,499,P2M,0
BTXN5042,APP1134,9,0,199,P2M,0
BTXN5043,APP1049,10,0,999,P2M,0
BTXN5044,APP1339,14,0,199,P2P,0
BTXN5045,APP1346,22,0,499,P2M,0
BTXN5046,APP1133,8,0,199,P2P,0
BTXN5047,APP1346,21,0,999,P2P,0
BTXN5048,APP1136,10,0,3999,P2P,0
BTXN5049,APP1244,21,0,3999,P2P,0
BTXN5050,APP1108,8,0,499,P2P,0
BTXN5051,APP1312,20,0,199,P2P,0
BTXN5052,APP1286,8,0,499,P2M,0
BTXN5053,APP1020,19,0,1999,P2P,0
BTXN5054,APP1089,21,0,199,P2M,0
BTXN5055,APP1295,22,0,3999,P2P,0
BTXN5056,APP1111,19,0,499,P2M,0
BTXN5057,APP1300,20,0,3999,P2M,0
BTXN5058,APP1076,20,0,1999,P2P,0
BTXN5059,APP1176,11,0,1999,P2M,0
BTXN5060,APP1342,20,0,499,P2M,0
BTXN5061,APP1147,9,0,199,P2M,0
BTXN5062,APP1100,13,0,499,P2M,0
BTXN5063,APP1245,20,0,499,P2M,0
BTXN5064,APP1116,8,0,199,P2M,0
BTXN5065,APP1091,20,0,499,P2M,0
BTXN5066,APP1027,18,0,499,P2P,0
BTXN5067,APP1024,14,0,999,P2M,0
BTXN5068,APP1057,7,0,999,P2P,0
BTXN5069,APP1296,13,0,199,P2M,0
BTXN5070,APP1133,22,0,3999,P2P,0
BTXN5071,APP1330,18,0,199,P2M,0
BTXN5072,APP1248,6,0,499,P2M,0
BTXN5073,APP1037,7,1,499,P2P,0
BTXN5074,APP1389,20,0,1999,P2P,0
BTXN5075,APP1074,17,0,199,P2M,0
BTXN5076,APP1141,19,0,499,P2M,0
